contractor,contract_num,date,object,expenses,revenue,profit
Лукойл,17С1490,07.08.2017,СКВ.1496Л-56 Поточное [дог.17С1490] [ЗБП],0.0,4397874.91,4397874.91
Лукойл,17С1490,07.08.2018,СКВ.1891Л-299 Тевлинско-Русскинское [дог.17С1490] [ЗБО],1835273.99,2063962.72,228688.73
Лукойл,17С1490,07.08.2019,СКВ.2057Н-44Б Повховское [дог.17С1490] [ЗБП],2249093.08,3526455.98,1277362.9
Лукойл,17С1490,07.08.2020,СКВ.227-23 Повховское [дог.17С1490] [ЗБП],2694737.75,4776891.76,2082154.01
Лукойл,17С1490,07.08.2023,СКВ.10442Р Шушминское [дог.19С1114] [ББ],36700045.94,30427743.06,-6272302.88
Лукойл,17С1490,07.08.2024,СКВ.12301Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ],8800.0,0.0,-8800.0
Лукойл,17С1490,07.08.2025,СКВ.12304Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ],28352.48,0.0,-28352.48
Лукойл,17С1490,07.08.2026,СКВ.12305Г-123 им. А.Усольцева (бывш Имилорское) [дог.19С1114] [ББ],40156292.43,72764387.91,32608095.48
Лукойл,17С1490,07.08.2029,СКВ.1702Г-4 Мишаевское [дог.19С1115] [ББ],4998.46,0.0,-4998.46
